"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 02 13:29:16 UTC 2024","Tue Jan 02 13:29:17 UTC 2024","880","tests","test_api","TestApi","","","Delete pet with invalid id",""
"failed","Tue Jan 02 13:29:03 UTC 2024","Tue Jan 02 13:29:06 UTC 2024","2664","tests","test_api","TestApi","","","Add a new pet to the store in a valid way",""
"failed","Tue Jan 02 13:29:11 UTC 2024","Tue Jan 02 13:29:14 UTC 2024","2371","tests","test_api","TestApi","","","Change data with invalid pet id",""
"passed","Tue Jan 02 13:29:14 UTC 2024","Tue Jan 02 13:29:15 UTC 2024","1131","tests","test_api","TestApi","","","Delete pet",""
"passed","Tue Jan 02 13:29:15 UTC 2024","Tue Jan 02 13:29:16 UTC 2024","1677","tests","test_api","TestApi","","","Delete pet once again",""
"failed","Tue Jan 02 13:29:10 UTC 2024","Tue Jan 02 13:29:11 UTC 2024","909","tests","test_api","TestApi","","","Change data of pet with ",""
"passed","Tue Jan 02 13:29:09 UTC 2024","Tue Jan 02 13:29:10 UTC 2024","1644","tests","test_api","TestApi","","","Change pet status to 'lost'",""
"failed","Tue Jan 02 13:29:07 UTC 2024","Tue Jan 02 13:29:09 UTC 2024","1665","tests","test_api","TestApi","","","Change pet status to 'sold'",""
"failed","Tue Jan 02 13:29:06 UTC 2024","Tue Jan 02 13:29:07 UTC 2024","850","tests","test_api","TestApi","","","Add a new pet to the store without data",""
"broken","Tue Jan 02 13:29:07 UTC 2024","Tue Jan 02 13:29:07 UTC 2024","0","tests","test_api","TestApi","","","Add a new pet to the store without body for request",""
